"metabolite","estimate","std_err","wald_p","log_wald_p","joint_p","log_joint_p"
"equamax1",0.499585399248914,0.435644611607528,0.251475525802484,0.599504275125484,0.14104308633124,0.850648197291536
"equamax2",0.401089749659772,0.403305389339422,0.319976440860483,0.494881996620551,0.418483330328977,0.378321836811287
"equamax3",-0.0553326880922257,0.412631574219503,0.89332581077113,0.0489901178039448,0.936035954616983,0.02870746900564
"equamax4",-0.854817873865119,0.451528570745967,0.0583359929469749,1.23406340553283,0.160099148259034,0.79561097855781
"equamax5",0.479326859307959,0.456582597866107,0.293803580946469,0.531942915231216,0.205172760926301,0.687880297383981
"equamax6",-0.144079707395805,0.452887311198225,0.750381861183871,0.124717672607355,0.233767473816367,0.631215916291196
"equamax7",-0.30763084195547,0.447988154082422,0.492275488031231,0.307791788598171,0.650005460444168,0.187082995002052
"equamax8",-0.381133795601839,0.46527909287207,0.412700314692834,0.384365199963609,0.562792089236478,0.249652015759487
"equamax9",-0.13224296210315,0.424388856185509,0.755338454713687,0.121858404558982,0.477555596940634,0.320976060647838
"equamax10",-0.0110957723982373,0.443723932193836,0.98005015667696,0.00875169756196508,0.51858043111688,0.285183875569568
"equamax11",-0.0125067021953197,0.47642731219862,0.979057122991414,0.00919196858886345,0.0916679968906148,1.037782258656
"equamax12",-0.332376719869011,0.474134403725694,0.483291823553462,0.315790552296772,0.14395272194246,0.841780118813586
"equamax13",-0.292426756762152,0.431439176350472,0.497902504493342,0.302855689179647,0.386286728154463,0.413090212870703
