"metabolite","estimate","std_err","wald_p","log_wald_p","joint_p","log_joint_p"
"equamax1",-0.241045060918349,0.265104081977564,0.363219820358385,0.439830460708738,0.366337626092096,0.436118473186473
"equamax2",-0.122004636872456,0.28042241515091,0.663508365482991,0.178153597200151,0.877756216500105,0.0566260860641128
"equamax3",-0.216740869112212,0.295958383525609,0.463963737493216,0.333515961733957,0.652887764970165,0.185161469940078
"equamax4",0.109488573365909,0.279752845476747,0.695519266976741,0.157690834865632,0.897517765779186,0.0469569460883573
"equamax5",-0.325015241819879,0.273401205027419,0.234524296099267,0.629812158853962,0.241616978164017,0.616872551574603
"equamax6",-0.057360728563259,0.290643941662467,0.843547874822968,0.0738902643713389,0.616680337733677,0.209939898419644
"equamax7",0.321733425152068,0.30415849649999,0.290154777324527,0.537370274492524,0.570517935022933,0.243730698381505
"equamax8",-0.179353937538073,0.270642514110594,0.507524737190035,0.294542785014141,0.699828924975713,0.155008111441944
"equamax9",-0.00578622436931845,0.293107901961544,0.984250034831739,0.00689456116843472,0.251021519128505,0.600289046494379
"equamax10",-0.1456692557898,0.300037973306886,0.627319775104428,0.202511021910511,0.738855969267858,0.131440213633102
"equamax11",-0.195788558576603,0.306944371633334,0.523562651042276,0.281031341924152,0.436039650869161,0.360474016761905
"equamax12",0.168905452114384,0.304399210982807,0.578975803492678,0.237339585891202,0.593717591095233,0.22642008329154
"equamax13",0.0569792222930568,0.283405904288639,0.840658194242448,0.0753805494203018,0.7316868739614,0.135674735888112
