"metabolite","estimate_aa","std_err_aa","estimate_ea","std_err_ea"
"a_glycerophosphocholine",0.254950711067959,0.383897004255755,0.0983187466575885,0.279052808752261
"a_ketoglutaric_acid",-0.880210873590635,0.397715882674309,-0.135676287744957,0.281468077274756
"acetoacetic_acid",-1.00538742259382,0.420419517897859,-0.346555754493493,0.283423668459859
"acetyl_alanine",0.0389149769461975,0.387684804267885,0.199237763698415,0.288123209069118
"acetyl_carnitine",-0.490633960252054,0.409169015910635,-0.0370343363212586,0.279975244313034
"acetyl_glutamate",0.152381877597627,0.407669488508173,-0.471300726278094,0.28718128688916
"acetyl_glutamine",-0.348620178122024,0.413888468887321,-0.414539424089971,0.280769884714283
"acetyl_lysine__alpha_",-0.517843849103662,0.394196909101164,0.0949948856271578,0.28800703931564
"acetyl_lysine__epsilon_",-0.183999739175496,0.378481707738134,0.0966557845927894,0.291474307690267
"acetyl_neuraminic_acid",-0.505606948590135,0.395733431640146,0.00787989307086763,0.284462805982465
"aconitic_acid",-0.389008039549733,0.400929634378466,-0.410407154579298,0.269672723494469
"adenosyl_methyonine__sam_",-0.0346054440626004,0.38444740758225,-0.197000872813442,0.274785236369499
"adma_sdma",0.0909893378714108,0.388971601860742,0.25115048427032,0.282055730238218
"adp",0.352358149577202,0.416897042778714,-0.128797889815998,0.277901703977805
"alanine",0.0649895481434397,0.413441885543577,0.198538971079931,0.277729338051686
"allantoin",-0.59996014749646,0.407416199575707,0.271846404737974,0.270061452063238
"amp",0.508531316409867,0.416924517928703,-0.0892423704792773,0.27685009781793
"anandamide",-0.421430909411492,0.39870191569934,0.008474816281388,0.275015594720644
"anserine",-0.0788078283647887,0.388941230048742,-0.279545152701807,0.268921284747917
"anthranilic_acid",0.164539203632607,0.385952001547441,-0.0794877695726759,0.272492226824518
"arachidonoylglycerol_acetate",0.223449674909194,0.400011004213825,0.225293528854,0.297495975319875
"arginine",-0.543722556532065,0.395165001662901,0.173023636823205,0.275850020855164
"asparagine",0.0870764046494637,0.400720781755796,0.0379517237715343,0.292807407258535
"aspartic_acid__aspartate_",-0.472565683921216,0.391756509442736,0.101154215238805,0.285062446960317
"atorvastatin",0.300717912842852,0.560308400260456,0.255813118665309,0.334179837360333
"atp",0.630235006674303,0.424264778835194,0.300488209359351,0.280925407438356
"beta_alanine",0.159684944630329,0.395517131668537,0.32079585332533,0.27901840870127
"beta_isovaleric_acid",-0.377030715960271,0.391123261295755,-0.0880048342828046,0.276218199612031
"betaine",0.163427754051155,0.394969831102512,0.185788625199044,0.285100674600019
"bilirubin",-0.315051446069969,0.392621410092574,0.288437596181634,0.276828241651533
"c10_carnitine",0.38995757921899,0.399738782249102,-0.0471187758266095,0.277425594490892
"c12_1_carnitine",0.177152813562983,0.392590486925834,0.210988981713623,0.295525554835362
"c12_carnitine",0.552557328039548,0.399188948348608,0.115434767800361,0.287820691798713
"c14_1_carnitine",0.526793044565099,0.40123279512845,0.0871705047317086,0.283934067257681
"c14_2_carnitine",0.557157452927385,0.395005603330078,0.10582093242505,0.289590230160094
"c14_carnitine",0.502883462321094,0.407513574994491,0.056887721437479,0.283410310277216
"c16_1_carnitine",0.445357381333368,0.407860464572215,0.273617619666095,0.300441481943341
"c16_2_carnitine",0.501724788965081,0.392757387172995,0.194822029205334,0.293649520817878
"c16_carnitine",0.00249211164870107,0.400823946424212,0.368846819228242,0.294389011707716
"c18_1_carnitine",0.0777636175118529,0.401179250703569,0.361416155346353,0.303547439247979
"c18_2_carnitine",0.191345897522223,0.408432571124496,0.282141254072736,0.293738384665026
"c18_carnitine",0.239679121501281,0.407411754476309,0.265303215382917,0.300757449789128
"c26_carnitine",0.0419693901587445,0.388477538935224,0.126768340859976,0.279449376466475
"c3_carnitine",-0.351278804474814,0.396562412245099,0.0587141657676419,0.27687689438448
"c3_malonyl_carnitine",-0.0742956335658348,0.39637013873811,-0.278158706590627,0.283133171833738
"c4_butyryl_carnitine",0.184198529367871,0.403651088679919,0.00209767389304748,0.272148582681371
"c4_methylmalonyl_carnitine",-0.180329695079859,0.393410546578004,0.259225089934311,0.268273550122835
"c5_valeryl_carnitine",-0.102211251128952,0.417152905897916,-0.362639374215083,0.286500475198703
"c6_carnitine",0.129271739740501,0.401414833636828,-0.204550452383593,0.281932189803944
"c7_carnitine",0.0331016607688379,0.394815740770181,-0.289735038814226,0.285288008612761
"c8_carnitine",0.206516112554377,0.39042038915063,0.0349774311126252,0.275615547317328
"c9_carnitine",0.135659601667993,0.38321204523285,0.0694445979131005,0.303433555337042
"carnitine",-0.569696725087813,0.396486113061673,-0.017655157900072,0.273376229357927
"choline",0.413358849523973,0.393929625155785,0.165733918485812,0.274544540386031
"citicholine",0.50835198119157,0.409263563859638,-0.127672162083569,0.289441278011416
"citidine_monophosphate__cmp_",0.412316677086101,0.423454896804713,-0.414156586153099,0.270840123420475
"citric_acid_isocitric_acid",-0.324442752682469,0.418999655785831,-0.24025185271101,0.279732818680648
"citrulline",-0.378790577679569,0.411741895249895,-0.569179970163117,0.289112212449356
"cotinine",-0.00117218666349407,0.410024660104281,0.0144235587575197,0.285470784653271
"creatine",-0.0936111222667474,0.394345680723835,0.19484152575607,0.281237671877595
"creatinine",-0.178147465425631,0.407226875355763,0.265615286573173,0.28488685444422
"cyclic_amp",-0.121226021698527,0.406102521528724,-0.0866043540245228,0.281585189155264
"cystamine",-0.75366347154344,0.410659425525843,0.459731028280535,0.27199586817095
"cystathione",0.770807879759493,0.393922128901803,-0.278841499490583,0.274172838267384
"cystine",0.150968297593071,0.39360614232107,0.17834587997038,0.289784495598982
"cytidine",-0.401396094902332,0.382917118055913,-0.56835762885605,0.282429285417288
"d_gluconic_acid",-0.218316043965565,0.390982040986441,-0.459021860831135,0.287808506940572
"deoxycholic_acid",-0.482716224469533,0.417140268919346,0.160954768602502,0.268933136604473
"dimethylglycine",-0.0379801130884812,0.400159051888321,-0.111979154709725,0.285472308652615
"dmgv",0.375209930703228,0.395076072196248,-0.321191872585043,0.284699176572075
"fad",-0.136719698799792,0.407257650417437,-0.0205162290169415,0.274861118308456
"folate",0.417610822182034,0.422764094239154,0.294430992735572,0.276351761555118
"fumaric_acid",-0.229814402137719,0.39868026332303,0.324063082453134,0.273481549053793
"glucose",-0.231901082336328,0.399959127703706,-0.452789615685009,0.280647789489131
"glutamic_acid__glutamate_",-0.831214627350016,0.392783362106992,-0.305514827137922,0.296358630222198
"glutamine",0.316834376139168,0.395796012675502,0.335158532651239,0.285357567664995
"glutamine_unc",0.0860586135431509,0.385831450230635,0.0666547776139429,0.276550631727825
"glutathione__gsh_",-0.0573269660610993,0.432456575583342,0.00977018511201743,0.27949928585584
"glutathione_disulfide__gssg_",1.08599495958461,0.426841234700711,0.420734568834289,0.286132733625408
"glyceric_acid",0.404946236358103,0.409207641274261,0.0104810679810501,0.283654494610693
"glycerol_3_phosphate",0.249558361769439,0.406662713405972,0.392607903626087,0.288989071899058
"glycine",0.533201654747496,0.405942696020829,0.00509844899856497,0.271276088746101
"glycochenodeoxycholic_acid",0.0371869439084735,0.41682156959143,-0.101539312080122,0.271396109978342
"glycocholic_acid",-0.630982692555595,0.423193432447898,-0.194886577239729,0.269707152868094
