"metabolite","estimate","std_err","wald_p","log_wald_p","joint_p","log_joint_p"
"lpc226_4",-0.825889823747696,0.442377322752358,0.061910628629935,1.20823478621281,0.00697957419234469,2.15617107186909
"lpc204_5",-0.375784129154488,0.397169773938222,0.344069583682989,0.463353718028583,0.0807079601878521,1.09308362890657
"lpc182_2",0.195495293481895,0.380457917891001,0.607362394691093,0.216552101261572,0.687491259163372,0.162732819128604
"lpe226_16",-0.571887740906211,0.43378015831487,0.187375966653495,0.727286113656961,0.232058492779237,0.634402532827089
"lpe204_20",0.0668513616117172,0.409504969752281,0.870322224170156,0.0603199263808907,0.90772107458075,0.0420475814127206
"lpe182_17",0.393637925458748,0.398274299167426,0.322976936619562,0.490828488989255,0.35829003902081,0.445765265678239
"lpe182_21",0.288322508355319,0.385343437875706,0.454326152738736,0.34263226282612,0.524387071888924,0.28034802384029
"lpc225_7",-0.458380504853253,0.413420014647766,0.267536935445218,0.572616251950363,0.139159833064407,0.856486100902102
"lpc225_10",-0.40257725008011,0.397049347215323,0.310619754204025,0.507770928295173,0.529123715217189,0.276442773041463
"pg364_pg182182_47",0.131082686943503,0.433270483461663,0.762238625068951,0.117909047915874,0.399712661355638,0.39825209474766
"lpe225_23",0.0657901251973428,0.414071807029513,0.873758858273485,0.0586084082937099,0.939264543636185,0.0272120715671689
"lpc203_9",-0.431470422830509,0.404933149085772,0.286633918351256,0.542672419377636,0.0734631595022334,1.13393039745985
"lpc160_11",0.243914229983491,0.387223626352006,0.528756518943574,0.276744265245706,0.0949793576846589,1.02237077174022
"lpe160_24",0.47361109257033,0.412841974473217,0.251300193188256,0.599807177541283,0.440812777799537,0.35574582511952
"lpc181_13",0.311612463518353,0.393015600339595,0.427850328921979,0.368708129798457,0.387195322355595,0.412069897973728
"lpe181_25",0.329609558906617,0.400217906846143,0.410180949102793,0.387024514352016,0.488564390014852,0.311078190624235
"lpe224_27",0.0148694294939008,0.398169382127682,0.970210338362906,0.0131341019321361,0.981467391945019,0.00812412472784697
"lpc170_14",0.0493892693425641,0.392932340228457,0.899974087500894,0.0457699948022116,0.962684167940181,0.0165161704230747
"lpc180_15",0.307074249033762,0.37905691459745,0.417882336607571,0.378945985582829,0.0444660867096036,1.35197108946735
"pi406pi18226_70",-0.511380360319091,0.406119345983434,0.207962654247768,0.682014648259987,0.390362999255225,0.408531353866059
"smd182160_76",-0.461475405699133,0.412787509181258,0.263588752351397,0.579073125549731,0.0146802252464918,1.83326728075796
"pi385_pi181204_65",0.370771689975967,0.406762630391779,0.362022207252292,0.441264788054361,0.608848676677518,0.215490633557848
"pi363_pi181182_64",0.415192889720924,0.397426760086412,0.296160303033428,0.528473154217595,0.484382783874811,0.314811301121555
"pi363_pi180183_68",0.436666162405541,0.408164644628087,0.284696519194851,0.545617842665866,0.547658025776757,0.261490543482552
"pc408_pc182226_6",-0.4479249626629,0.399078583727227,0.261693298722854,0.582207398357249,0.101974705091057,0.991507541980585
"pi384_pi180204_72",-0.396626087298708,0.457514297440496,0.385988488178092,0.413425647647633,0.0609624760751975,1.21493740183977
"pi362_pi180182_71",0.0284081189517955,0.398516027514023,0.943171124979572,0.0254095035596952,0.930218530249823,0.0314150134537317
"smd181160_77",-0.314120428981426,0.414658508520124,0.448726378657944,0.34801839944653,0.0412980809893658,1.38407012837004
"pc343_pc161182_1",-0.0281815566276998,0.413341148528681,0.945642430185197,0.0242730495953448,0.930168459453099,0.0314383908164496
"pc343_pc160183_8",0.0742574111954544,0.40870723210328,0.855827177498264,0.0676139262534432,0.851155196822798,0.0699912448760141
"pc365_3",-0.518430880697882,0.40461947998651,0.200095306220562,0.69876309880216,0.316889034288839,0.49909278898971
"pc332_pc150182_7",-0.230423072657026,0.399010810165098,0.563611335651267,0.249020280712989,0.611702075786789,0.213460045738558
"pc321_pc160161_11",-0.0853238610139722,0.404009308147066,0.832736821094166,0.0794922317335987,0.976616587478428,0.0102759036550368
"pc322_pc140182_24",-0.00573888813152759,0.439581273627894,0.989583632335176,0.00454749652899697,0.582615686781831,0.234617826280489
"pc386_9",-0.581141004298677,0.434599546279569,0.181161498529438,0.74193409558251,0.0926890292710377,1.0329716661684
"smd181250_",-0.457721197186595,0.42136295873318,0.27735193925442,0.556968793172384,0.0984758060620476,1.00667045563823
"pi383_pi180203_74",0.109235417206364,0.379442141832455,0.773435341878028,0.111575986863518,0.704852391643024,0.151901822309101
"pg386_pg182204_43",-0.0466708824204684,0.417682471703391,0.911031379188073,0.0404666641098461,0.808937935313707,0.0920847977755767
"pc364_10",-0.36510041776413,0.420029373958007,0.384723574355009,0.41485120101159,0.679967689437321,0.167511723517978
"pe386_pe160226_37",-0.0890138466285391,0.418443023223204,0.831540432165438,0.0801166291390674,0.963237067146388,0.0162668133086441
"pc342_pc160182_14",0.0301274177973291,0.398593910871851,0.939749875300037,0.0269877232427848,0.97788650707137,0.00971154624795574
"pc407_pc181226_15",0.117394627596462,0.405949374952885,0.772439512895717,0.112135518691627,0.559938836325696,0.251859409595528
"ps384_ps180204_56",0.303875318552817,0.408550412208714,0.457004112265241,0.340079891995648,0.573129740909595,0.241747054501959
"pe364_pe160204_39",0.163171807151062,0.428549545421263,0.703386048956919,0.152806249782387,0.715296677548995,0.145513792186786
"pc396_pc170226_20",-0.307726054768882,0.398597257224843,0.440101095838527,0.356447550055477,0.640264095797818,0.193640851500965
"pg364_pg182182_44",-0.170499580029949,0.421837390801419,0.68607801804977,0.163626495252545,0.253870453299442,0.59538784152764
"pc385_16",-0.477390344996666,0.432666569742169,0.269867490414393,0.568849429574682,0.205810323200245,0.686532845334221
"pe342_pe160182_38",0.43773852174207,0.429619398668175,0.308251199153776,0.51109522524365,0.227131737157647,0.643722177495707
"pg4412_pg226226_40",-0.416605967573156,0.409274438370178,0.308719075217443,0.510436535384325,0.394773904055761,0.403651563447084
"pc363_pc181182_18",0.00132094199901813,0.408443693049168,0.997419577270037,0.00112211173736107,0.995370706788041,0.00201514445145731
"pe385_pe180205_41",0.472772086307984,0.431084733362609,0.2727710762368,0.56420168275719,0.395395196489866,0.402968611073476
"smd180181_",-0.334324419338056,0.43165451117686,0.438624212035832,0.357907398961884,0.281534703468326,0.550468064060022
