"metabolite","estimate","std_err","wald_p","log_wald_p","joint_p","log_joint_p"
"s1p_",0.578318972699151,0.396012778414267,0.144192719589951,0.841056666951755,0.0178874328582041,1.74745198338541
"anandamide",-0.421430909411492,0.39870191569934,0.290508171128265,0.536841647693585,0.244277329189921,0.612116837015866
"atorvastatin",0.300717912842852,0.560308400260456,0.591474369721592,0.228064069852027,0.853767753230596,0.0686602525052327
"cotinine",-0.00117218666349407,0.410024660104281,0.997718994835641,0.000991759490834535,0.782228931007068,0.106666125555494
"c26_carnitine",0.0419693901587445,0.388477538935224,0.913967481022339,0.0390692561959248,0.599549860282022,0.222174693891376
"c18_1_carnitine",0.0777636175118529,0.401179250703569,0.846303055746364,0.0724740910150953,0.0356663350316538,1.44774151520059
"c18_carnitine",0.239679121501281,0.407411754476309,0.55633294476524,0.25466522137122,0.0335809049031556,1.47390760512614
"c18_2_carnitine",0.191345897522223,0.408432571124496,0.639435406896372,0.194203319590795,0.0260471976567749,1.58423899434779
"c16_carnitine",0.00249211164870107,0.400823946424212,0.995039207075623,0.00215980660992414,0.129898075533332,0.886397283041259
"c16_1_carnitine",0.445357381333368,0.407860464572215,0.274861386833867,0.560886266569167,0.24191212961476,0.616342355314476
"c16_2_carnitine",0.501724788965081,0.392757387172995,0.201446238707645,0.69584083710541,0.363414983000788,0.439597171413164
"c14_carnitine",0.502883462321094,0.407513574994491,0.217192196109948,0.663155783352409,0.306525713293351,0.513533088280913
"c14_1_carnitine",0.526793044565099,0.40123279512845,0.189204461547174,0.723068626906355,0.277786622896483,0.556288671996973
"c14_2_carnitine",0.557157452927385,0.395005603330078,0.158390565521992,0.800270690573321,0.263433753375246,0.579328580302622
"c12_carnitine",0.552557328039548,0.399188948348608,0.166297234309369,0.779114973475415,0.279973547929801,0.552882999124928
"c12_1_carnitine",0.177152813562983,0.392590486925834,0.651816065254362,0.185874939720311,0.858386593546554,0.06631707388719
"c10_carnitine",0.38995757921899,0.399738782249102,0.329296925769042,0.482412323730162,0.590234207339434,0.228975624337494
"c9_carnitine",0.135659601667993,0.38321204523285,0.72333392050117,0.140661168331528,0.553750730573756,0.256685687795616
"thyroxine",0.114729863166703,0.392381932154536,0.769985900804091,0.11351722711199,0.325474859620402,0.487482551642023
"c8_carnitine",0.206516112554377,0.39042038915063,0.596834364767381,0.224146178834357,0.83825639244688,0.076623126006723
"guanosine",0.121131348669685,0.415760935033054,0.770784753870366,0.113066884280538,0.453873528949795,0.343065145669295
"c7_carnitine",0.0331016607688379,0.394815740770181,0.933183022163016,0.0300331711298816,0.42775241804643,0.368807526751787
"uridine",0.03406439391449,0.386861037200087,0.929834307287224,0.0315944340717736,0.98635315992487,0.00596755975900381
"c6_carnitine",0.129271739740501,0.401414833636828,0.74742219032991,0.126434012460731,0.880282993245938,0.055377688477461
"X_2_aminooctanoate",0.0625089849982065,0.403880048254983,0.877001725401063,0.056999552208163,0.620321189427531,0.207383383603247
"uridine_monophosphate",-0.114347853691019,0.38654482053061,0.767367222660594,0.114996755205006,0.253021646333309,0.59684232277292
"cytidine",-0.401396094902332,0.382917118055913,0.294519559097872,0.530885858343049,0.505783856495665,0.29603503649169
"cystamine",-0.75366347154344,0.410659425525843,0.0664683813874271,1.17738489687003,0.0274674944932943,1.56118095387988
"c5_valeryl_carnitine",-0.102211251128952,0.417152905897916,0.806440117452832,0.0934278757955915,0.957970951580487,0.0186476597727818
"isoleucine",-1.13830166779441,0.417341821024251,0.00638153997268411,2.19507450608511,0.0162558100253387,1.78899138477937
