"metabolite","estimate","std_err","wald_p","log_wald_p","joint_p","log_joint_p"
"lpc226_4",0.109027269231426,0.283519832822427,0.70057158295637,0.154547482798424,0.60861771173033,0.215655413143116
"lpc204_5",-0.128791579514201,0.271636453590545,0.635405663753163,0.196948918363478,0.46125604264917,0.336057931354291
"lpc182_2",-0.0860069566952089,0.293641672047529,0.76960038252345,0.11373472510774,0.209010443946604,0.679832012285811
"lpe226_16",0.0930762002559381,0.282800156177796,0.742062280795138,0.129559643143404,0.771003349394637,0.112943735281794
"lpe204_20",-0.0185852734010462,0.270112563545777,0.945144312173435,0.0245018748816693,0.978643973735931,0.0093752738389061
"lpe182_17",-0.0736481040692644,0.285607033480153,0.79651097216938,0.0988082372893463,0.670138163596103,0.17383564878958
"lpe182_21",-0.134061361514584,0.291385137213122,0.645456612767958,0.190132945448295,0.763994735023528,0.116909634301415
"lpc225_7",-0.108645803905013,0.271307882097149,0.688823576654031,0.161891996520263,0.777928407015846,0.109060369422445
"lpc225_10",-0.331533315289464,0.275066962591646,0.228094376731689,0.641885421362987,0.244936631165625,0.61094625969589
"pg364_pg182182_47",-0.310508695596437,0.305871271428693,0.31002891671089,0.508597797190597,0.0619290640132983,1.20810548380331
"lpe225_23",0.153224329445937,0.269567226039208,0.569757552478026,0.244309909275639,0.486402522217108,0.313004181716136
"lpc203_9",-0.0997560745612451,0.283396066839272,0.724836518467605,0.139759934302765,0.295499524728959,0.529443213286132
"lpc160_11",-0.12837512643393,0.276086416422328,0.64194457419924,0.192502467505214,0.514983712204948,0.288206506514877
"lpe160_24",-0.0790434061657038,0.263848840407524,0.764498783221081,0.116623201475717,0.804643950177483,0.0943962496689718
"lpc181_13",-0.15587677863613,0.279609796322107,0.577199741425085,0.238673872134475,0.270108446797909,0.568461834396917
"lpe181_25",-0.411641767755285,0.284666691752535,0.14816367271248,0.82925826514517,0.187327915590338,0.727397499274683
"lpe224_27",-0.171441913672394,0.280600071532004,0.541210740031459,0.266633593652173,0.829525570660358,0.0811702220259643
"lpc170_14",0.173720196430003,0.287037834214258,0.545034776516643,0.263575786223489,0.601363843721288,0.220862686884599
"lpc180_15",-0.105473879396006,0.278858891407776,0.705256861931344,0.151652679600926,0.795637423792338,0.0992847974879492
"pi406pi18226_70",-0.305039227826099,0.288867804061717,0.290976396889163,0.536142238218676,0.103911622830705,0.983335872568647
"smd182160_76",-0.317105121662538,0.274427947298098,0.247880321183933,0.605757949797171,0.440125929917894,0.356423044323842
"pi385_pi181204_65",-0.629036403610698,0.285937669244513,0.0278134633321779,1.55574492942407,0.0880438866809202,1.05530079384678
"pi363_pi181182_64",-0.464816203951185,0.274348187085704,0.0902165494282398,1.04471378766762,0.102312085561721,0.990073062448601
"pi363_pi180183_68",-0.269269281642281,0.282815066126252,0.341044373446098,0.467189111068968,0.308390871170444,0.510898486194949
"pc408_pc182226_6",-0.187671029609385,0.288213112055912,0.514947285222012,0.288237227092717,0.236423808310585,0.626308791338694
"pi384_pi180204_72",-0.237834291251353,0.282355187870177,0.399607136021243,0.39836676492309,0.677487127304617,0.169098952252352
"pi362_pi180182_71",-0.331161331898458,0.2750513250117,0.228590229749698,0.640942335867557,0.462250818758435,0.335122310927134
"smd181160_77",0.116327423480445,0.271671970419483,0.668512253665353,0.174890627817894,0.269937988635097,0.568735992458542
"pc343_pc161182_1",-0.0358614408943471,0.264990494106524,0.892350139264601,0.0494647042411914,0.935276789835848,0.029059843128423
"pc343_pc160183_8",-0.0257903613912567,0.265986240830214,0.922757158473092,0.0349125769929891,0.975832160706139,0.0106248728531362
"pc365_3",0.115823233355264,0.285262058723547,0.68472498882813,0.164483822399755,0.525221677335605,0.279657357691174
"pc332_pc150182_7",-0.160498593357701,0.269393678936898,0.551324122661572,0.258593004963838,0.824858540980041,0.0836205243462759
"pc321_pc160161_11",0.229965892883931,0.269824208554889,0.394058464372959,0.404439339415734,0.520759657619512,0.283362667204565
"pc322_pc140182_24",-0.0647928467270548,0.268075090044194,0.809015238496019,0.0920432980015656,0.65276805450771,0.185241107456551
"pc386_9",0.133979263267399,0.293478375325648,0.648014829773742,0.188415055217048,0.816042260857835,0.0882873496014035
"smd181250_",0.0164368528667896,0.285286543849342,0.954055109587878,0.0204265381903994,0.743761886415076,0.128566080539727
"pi383_pi180203_74",0.0600736203117099,0.275732010219474,0.827530720818555,0.0822158747313054,0.592082739037581,0.227617599701651
"pg386_pg182204_43",0.472619326045822,0.296816661832001,0.111318708663534,0.953431840278654,0.218596731195941,0.660356336595736
"pc364_10",-0.179674433672349,0.273244063786929,0.510820746806599,0.291731472331396,0.658797025133336,0.181248370599875
"pe386_pe160226_37",-0.163695966038085,0.273726820119891,0.54982207114063,0.259777830548948,0.738326601186732,0.1317514840894
"pc342_pc160182_14",0.155570402080705,0.274218186185619,0.570494461054774,0.243748567801463,0.847631608388992,0.0717928567123407
"pc407_pc181226_15",-0.106002253811746,0.28721687719743,0.712077830633666,0.147472535060619,0.882017268652843,0.0545229119121457
"ps384_ps180204_56",-0.216025969696507,0.300544216413767,0.472274846579153,0.32580518438895,0.433519827680004,0.362991034623545
"pe364_pe160204_39",-0.18883219228606,0.270864051428611,0.485710499672453,0.313622508220352,0.645520388234506,0.190090036344254
"pc396_pc170226_20",0.087809222447873,0.281139850770341,0.754787545801842,0.122175274424117,0.948126730830735,0.0231336090522647
"pg364_pg182182_44",-0.483798271431954,0.298021669833762,0.104511170199881,0.980837289486766,0.244593612665131,0.611554888348415
"pc385_16",0.0753887010613085,0.275092011774174,0.784046937113881,0.105657937418392,0.916605524847617,0.0378175293696501
"pe342_pe160182_38",-0.307877402750257,0.276252486766465,0.26507404732794,0.576632790765623,0.339132297008583,0.469630848544854
"pg4412_pg226226_40",-0.452919789362512,0.295518364287907,0.12536748029432,0.901815102742197,0.167927258316582,0.774878802518118
"pc363_pc181182_18",-0.147105665679222,0.278181525796292,0.596936030435371,0.224072206755821,0.549935396836381,0.259688325860996
"pe385_pe180205_41",-0.353988515029047,0.273077243708591,0.194874060467071,0.710245965632226,0.139425663762267,0.855657279290381
"smd180181_",0.0974795109933756,0.2703221338705,0.718394756808648,0.143636846019735,0.761091636914181,0.118563050180507
"pe363_pe181182_40",-0.557406651949539,0.291281338296845,0.0556665954101678,1.25440533949407,0.126528186027473,0.897812718182544
"pc320_pc160160_21",0.121632238770744,0.270319465569447,0.652741171441614,0.18525899345388,0.846887012522896,0.0721745272265688
"pc352_pc170182_23",-0.173241565046757,0.27205730638281,0.524265967849942,0.280448333121066,0.538058325883998,0.269170643968192
"pi365_pi160205_58",-0.356648759059505,0.288319986367858,0.21609102807207,0.665363264304542,0.4649505813346,0.332593204947112
"pg4210_pg204226_41",-0.277833995839654,0.276830322197505,0.315559114572613,0.500919271196944,0.604087134659867,0.218900413410948
"ps386_ps160226_51",0.00712639048832442,0.265561028248745,0.978591156206099,0.00939871339546094,0.397924253970172,0.400199589266799
"pc341_pc160181_26",0.20632058745445,0.269013274404256,0.443109350638507,0.353489085247426,0.447113217784347,0.349582491111719
"pc406_pc180226_27",0.201731020830902,0.288982695556372,0.485131534594826,0.314140494379501,0.78234178121528,0.106603475497673
"pc372_pc182190_36",-0.170285115095238,0.267584093566025,0.524528896030981,0.28023058174854,0.624259630751752,0.204634748856344
"pe341_pe160181_42",-0.323673001098824,0.274877570388723,0.238989232189619,0.621621666022482,0.456051287542345,0.340986313817753
"pi364_pi160204_63",-0.232039042321513,0.263964806884527,0.379372566497116,0.420934077373784,0.638986643923855,0.194508219354573
"pc384_pc180204_28",-0.0820455960218444,0.271320218714418,0.762351756739212,0.117844594590182,0.89482033987265,0.048264152655361
"pg408_pg182226_42",-0.176283520581745,0.269603425182273,0.513200512805841,0.2897129183364,0.404722258163153,0.392842910430235
"pe406_pe180226_43",-0.152894331149367,0.272514529990085,0.574763316867626,0.24051095764002,0.817646512883552,0.0874344111011273
"pc362_pc180182_29",0.0678693243880413,0.284670025357351,0.811559996504568,0.090679368397562,0.610562614558248,0.214269791567212
"pi343_pi161182_60",0.0357554685337508,0.279235438506493,0.898111188082481,0.046669893420168,0.891763559054247,0.0497502785944064
"pg363_pg181182_48",-0.182741858949052,0.275822690400819,0.507629171791292,0.294453428374119,0.48265713272127,0.316361271409854
"pc405_pc180225_30",0.0185097407175528,0.272127341767077,0.945770769676091,0.0242141125711184,0.950147711663019,0.0222088732654276
"pi342_pi160182_62",0.161375773353016,0.282768561928064,0.568203606074817,0.245496014376855,0.647610427321613,0.188686167188924
"pe405_pe180225_46",-0.257587002435928,0.269056157867636,0.338379206230659,0.470596332680141,0.522162112619609,0.282194643193223
"pe384_pe180204_45",-0.446974202946533,0.271933540324787,0.100240433454626,0.998957064055552,0.120805736863714,0.917912441301847
"pc340_pc160180_32",0.660469148206947,0.294901788165656,0.0251153375916804,1.600060979829,0.0318124080829847,1.49740345514385
"ps386_ps180226_55",-0.0487689579878399,0.275805874970675,0.859647035686446,0.0656798300579516,0.644185333380372,0.19098916729106
"pc374_pc170204_22",0.0859535264384953,0.281596756309325,0.760186256435119,0.119079986361887,0.566477083366318,0.246817654677659
"pc384_pc180224_35",-0.0330397172327241,0.270965560651589,0.902951865493251,0.0443354004150099,0.949016567922714,0.0227262055973622
"pc361_pc180181_34",0.0497544702859758,0.270942558080592,0.854299996156371,0.0683895955909966,0.612899206650024,0.212610940807687
"dg386_dg18320389",-0.147881010545141,0.272662342773074,0.587570877390966,0.230939737901926,0.856011865505281,0.067520215360518
"dg386_dg18220488",-0.215476768210354,0.272563649096255,0.429203259869617,0.367336988155271,0.72277539632845,0.140996639482235
"pe361_pe180181_47",-0.502418510195777,0.277416554031015,0.0701312933868552,1.15408815161035,0.191850653198262,0.717036717810894
"smd181220_",-0.0711134671299289,0.287381157250783,0.804557290543068,0.0944430254234447,0.886955850860381,0.0520979970847397
"smd181241_",0.339355539735232,0.267595063740121,0.204737904694915,0.688801745633066,0.433083284816301,0.363428577877481
"dg385_dg18220391",-0.207533799553413,0.264611110138019,0.432865638339197,0.363646887903569,0.729160597702864,0.137176807738627
"dg342_dg16018290",-0.308154870482794,0.263400822278129,0.242037778234073,0.616116842291877,0.504061942344443,0.297516091400857
"pc394_pc190204_33",0.0682392181856713,0.28930162944669,0.813529141412403,0.089626885593841,0.941394614365278,0.0262282905823534
"dg363_dg18118292",-0.372347741999537,0.266717770798435,0.162703505425121,0.788603090146196,0.355087797161387,0.44966425227325
"dg362_dg18128193",-0.268965978141288,0.26438492238385,0.308997791697538,0.510044624319504,0.59493629506471,0.225529535419466
"pc4210_pc204226_2",0.23870169068729,0.261961199027737,0.362184682734799,0.441069920516764,0.658341498924007,0.181548768049875
"tg5811tg160_205_226_19",-0.128114995596184,0.26953934767539,0.63456537610215,0.197523628072359,0.85623375264444,0.0674076563214872
"tg5812tg182_205_205_1",0.207451778852143,0.282059160798816,0.462040940886485,0.335319540432377,0.759358686983395,0.119553034406127
"tg5811tg183_204_204_7",0.17261746752247,0.288937011264766,0.550225344824714,0.259459408740945,0.835389541215174,0.0781109662518534
"tg6214tg182_226_226_15",0.15312044306406,0.299375217864037,0.609024327491132,0.215365359117307,0.823653729657805,0.0842553306640237
"tg548_6",-0.064605015952552,0.286476789997369,0.821578107320662,0.0853511419479107,0.961601539378064,0.0170048501012528
"tg6012tg160_226_226_29",0.712826789828251,0.299658013263066,0.0173690485786177,1.76022397017541,0.018119414341487,1.74185584376577
"tg569tg182_182_205_11",-0.00147004254579468,0.284356003611464,0.99587517403702,0.00179509392999287,0.965539165766553,0.0152301049697177
"tg526_17",-0.323758752321534,0.274719530923924,0.23859474334676,0.622339128815903,0.265268551081702,0.576314234756699
"tg548tg140_182_226_10",-0.140166017704945,0.284487493669458,0.622226988256419,0.20605115588137,0.861815976263854,0.0645854592625952
"tg526tg161_182_183_18",-0.332904219473044,0.274029130250986,0.224423403379213,0.648931855845148,0.310491870810957,0.507949765884051
"tg462tg120_160_181_8",-0.327027962811998,0.286304751740548,0.253355401023345,0.59626983299702,0.496197021917258,0.304345846611135
"tg526tg182_182_183_16",-0.297982927099558,0.272332657110532,0.27387285266528,0.562451014558671,0.220705254726665,0.656187326685979
"tg5811tg182_203_204_9",0.0492215737377215,0.286459997578639,0.863573506074355,0.063700690031891,0.981367291183473,0.0081684210802451
"tg547tg160_182_205_27",-0.329154848984756,0.273409093546614,0.228631566687055,0.640863807660976,0.227327008465584,0.643348963171869
"tg569tg161_182_226_12",-0.109077317185378,0.282730034777609,0.699644612530513,0.155122505714095,0.926518101086754,0.0331460915903053
"tg483tg141_160_182_14",-0.220256483917328,0.279233290564107,0.430234636550052,0.366294629148376,0.731999506323949,0.135489211838954
"tg5810tg182_182_226_23",-0.138628155320104,0.284114875415141,0.625599463612326,0.203703632311231,0.859360931641843,0.0658243941452975
"tg569tg160_183_226_13",-0.112884734771406,0.283946256160933,0.69095698821617,0.160548986434436,0.922109787137751,0.0352173684153622
"tg504tg161_161_182_21",-0.0560413715740519,0.26957675294497,0.835317578979011,0.0781483789158839,0.977818770812679,0.0097416300072204
"tg504tg160_161_183_22",-0.0190466650074473,0.271337382894238,0.944038050848978,0.0250105004681381,0.932326693585168,0.0304318812508069
"tg5810tg160_204_226_24",0.155078854946157,0.288899742075978,0.59141181336545,0.228110004753785,0.856768284632089,0.0671366183482452
"tg525tg161_182_182_26",-0.381923796372655,0.272766296106695,0.161457355684495,0.791942164580437,0.189909278164075,0.721453816953202
"tg568tg181_182_205_28",-0.231353446316715,0.281118733986306,0.410522703469069,0.386662819741412,0.557604034722527,0.253674092421901
"tg525tg160_182_183_30",-0.428746294430643,0.271661448511554,0.114511050532276,0.941152601065432,0.142666964363615,0.845676579482141
"tg546tg182_182_182_32",-0.37067212688841,0.275380572833147,0.178290951150288,0.748870698132679,0.207998160726024,0.681940505374114
"tg6011tg181_204_226_35",0.0197847191666123,0.28860598514615,0.945345671141349,0.0244093601476593,0.975580891179625,0.0107367148533041
"tg568tg160_182_226_34",-0.115499113095715,0.278493045292792,0.678340376808251,0.168552331684602,0.917242943503435,0.0375156206560241
"tg482tg140_160_182_33",-0.218535606446963,0.276699795172469,0.429648572533122,0.366886626771581,0.732052353663074,0.135457858703997
"tg589tg181_182_226_38",-0.0880218213220035,0.285007915219386,0.757443301888543,0.120649870546469,0.941499858121285,0.0261797410930389
"tg589tg182_182_225_39",-0.204740931303081,0.282626177927618,0.468806023789952,0.329006816610425,0.740179360301937,0.130663029254351
"tg503tg160_161_182_36",-0.24726576625997,0.269457577614614,0.358805980098879,0.445140327327216,0.612759935648696,0.212709638113551
"tg546tg160_182_204_40",-0.216415601901043,0.271073979567663,0.424659512184263,0.371959143466962,0.722468821289078,0.141180890487377
"tg567tg160_182_225_42",-0.232382809936326,0.273331185912792,0.395220743829653,0.403160268805252,0.408072538870622,0.389262629971234
"tg524tg160_182_182_41",-0.329878608620571,0.270840924199156,0.223231882086606,0.65124377915437,0.187836245926183,0.726220600105796
"tg545tg181_182_182_44",-0.412177267707462,0.274089799349181,0.132631905713935,0.877351990194261,0.200610624421436,0.697646070291584
"tg545tg160_181_204_52",-0.40981296224395,0.274110293126696,0.134897234611833,0.869996953257164,0.275058185796436,0.560575425815752
"tg513tg160_171_182_45",-0.321249338114688,0.26928052339063,0.232872756397211,0.632881316267488,0.328758408419654,0.483123130719499
"tg567tg160_181_226_46",-0.0576300149189991,0.276126940790113,0.834675874071206,0.0784821394030008,0.847580212830949,0.071819190657137
"tg434tg170_182_182_47",-0.357921932779817,0.277443038836501,0.197025113979936,0.705478412580798,0.166647956336031,0.778200007880599
"tg588tg181_203_204_43",-0.157040114702397,0.281380164871326,0.576771624179257,0.238996114040198,0.714614942120387,0.145927907231552
"tg588tg181_181_226_48",-0.0375808455431765,0.277711835089836,0.892356367495053,0.0494616730580728,0.971719407920499,0.0124591231231971
"tg502tg160_161_181_49",-0.150658252275732,0.270481224143264,0.577526897649607,0.238427784199853,0.807526221291027,0.0928433667341815
"tg502tg160_160_182_50",-0.150658252275732,0.270481224143264,0.577526897649607,0.238427784199853,0.807526221291027,0.0928433667341815
"tg566tg180_182_204_59",-0.361087489061249,0.270630455633287,0.182123386334791,0.73963428317803,0.187169292523031,0.727765401226746
"tg588tg180_204_204_55",-0.0510592064973343,0.271448601780755,0.850799056683289,0.0701730002896063,0.770793872302695,0.113061746579772
"tg566tg160_181_225_53",-0.260822990501851,0.2812097199402,0.353665191976333,0.451407681707699,0.35664625004772,0.447762338002878
"tg566tg181_181_204_60",-0.254313563724542,0.268502972970066,0.343560503397426,0.463996769586137,0.63114514155333,0.199870756560445
"tg523tg160_181_182_54",-0.360903646886123,0.26624088787958,0.17524141951908,0.756363237536738,0.266182658570588,0.574820241620259
"tg587tg181_182_224_56",-0.451798513400085,0.273680175501042,0.0987739871099512,1.00535741515008,0.222904466658042,0.651881228848142
"tg544tg180_182_182_58",-0.373874652789966,0.276986126983624,0.177081559722371,0.751826661439994,0.319084699250083,0.496094020596765
"tg544tg181_181_182_57",-0.396975970905411,0.273560270289693,0.146739129491486,0.833454061642365,0.346979439817956,0.459696258460283
"tg512tg160_171_181_61",-0.132714348265325,0.26857113845971,0.621200458222881,0.206768232589978,0.840801884051844,0.0753063238204392
"tg512tg160_170_182_62",-0.0985128484833191,0.272238465951655,0.717454903344051,0.144205391938007,0.933931157516831,0.0296851355605491
"tg587tg180_181_226_69",-0.181452575040584,0.268379474769173,0.498974289285409,0.301921831749645,0.52701037773124,0.27818083270579
"tg565tg182_182_201_64",-0.377310759518008,0.275851751441948,0.171373854728464,0.766055434532236,0.175303097765474,0.756210409459173
"tg587tg181_181_225_70",-0.312999611566036,0.267111052889514,0.241279046852763,0.617480391441136,0.454122415996306,0.342827060302889
"tg533tg170_181_182_66",-0.3083684537005,0.274051578918064,0.26049560973885,0.584199591682148,0.439102068179999,0.357434517354629
