"metabolite","estimate","std_err","wald_p","log_wald_p","joint_p","log_joint_p"
"s1p_",-0.237908496549986,0.28643431007641,0.406207213507352,0.391252368576161,0.694372418055682,0.158407538586351
"anandamide",0.008474816281388,0.275015594720644,0.975416466743976,0.0108099170285626,0.426727309169016,0.369849562807683
"atorvastatin",0.255813118665309,0.334179837360333,0.443976621679357,0.35263989777493,0.175818826730209,0.754934622394989
"cotinine",0.0144235587575197,0.285470784653271,0.959703616372965,0.0178628686766262,0.853410116151456,0.0688422134069664
"c26_carnitine",0.126768340859976,0.279449376466475,0.650090725858834,0.187026029525913,0.832826604341183,0.0794454098975896
"c18_1_carnitine",0.361416155346353,0.303547439247979,0.233794382288651,0.63116592846225,0.343431344934095,0.46416006936535
"c18_carnitine",0.265303215382917,0.300757449789128,0.377713618966557,0.422837355825391,0.530179132844551,0.275577369527871
"c18_2_carnitine",0.282141254072736,0.293738384665026,0.336794150976377,0.472635459395492,0.190734325814097,0.719571141405271
"c16_carnitine",0.368846819228242,0.294389011707716,0.210233661967225,0.677297744843637,0.275144763072551,0.560438748854415
"c16_1_carnitine",0.273617619666095,0.300441481943341,0.362443707119312,0.440759436226502,0.313345161961763,0.50397700640371
"c16_2_carnitine",0.194822029205334,0.293649520817878,0.507041837000261,0.294956204712564,0.139395021214551,0.855752737698994
"c14_carnitine",0.056887721437479,0.283410310277216,0.840913094666772,0.0752488846502182,0.60196632540631,0.220427802927013
"c14_1_carnitine",0.0871705047317086,0.283934067257681,0.758836010662187,0.119852067792876,0.287092574225058,0.541978040574857
"c14_2_carnitine",0.10582093242505,0.289590230160094,0.71480082511818,0.145814954845652,0.162048853175014,0.790354038137019
"c12_carnitine",0.115434767800361,0.287820691798713,0.688372365674141,0.162176572505029,0.399373093737654,0.398621197439481
"c12_1_carnitine",0.210988981713623,0.295525554835362,0.475261211796953,0.323067628983058,0.575113645673881,0.240246327810792
"c10_carnitine",-0.0471187758266095,0.277425594490892,0.865133664116232,0.0629167883692738,0.927957003654681,0.032472146095912
"c9_carnitine",0.0694445979131005,0.303433555337042,0.818975695848739,0.0867289862925697,0.713572298114656,0.146562018230401
"thyroxine",-0.0980669175122316,0.286613425317815,0.732232407965487,0.135351053535461,0.937026409591811,0.0282481685803541
"c8_carnitine",0.0349774311126252,0.275615547317328,0.899014325434422,0.0462333879024198,0.906277056214768,0.0427390146947439
"guanosine",-0.415646299629586,0.276472701343253,0.132738498971489,0.877003097738765,0.248065560452399,0.605433525706373
"c7_carnitine",-0.289735038814226,0.285288008612761,0.309825687205992,0.508882578347798,0.590611062322645,0.22869842282863
"uridine",0.151568482190184,0.272276393814947,0.57775195872535,0.238258573478158,0.764516937337529,0.116612888654872
"c6_carnitine",-0.204550452383593,0.281932189803944,0.468126532442732,0.329636743262823,0.618727690613293,0.208500447077711
"X_2_aminooctanoate",-0.0139134413289976,0.261791126453997,0.957614697531973,0.0188091969708507,0.965517064675194,0.015240046039139
"uridine_monophosphate",-0.344734527999637,0.267255239111529,0.197082788572873,0.70535130141416,0.345432773770557,0.461636460073524
"cytidine",-0.56835762885605,0.282429285417288,0.0441789316159961,1.35478479092922,0.0934725984905832,1.02931568397728
"cystamine",0.459731028280535,0.27199586817095,0.0909871587788403,1.04101989630539,0.204419234678203,0.689478241993374
"c5_valeryl_carnitine",-0.362639374215083,0.286500475198703,0.205600853964609,0.686975085827796,0.413933447240677,0.383069479699333
"isoleucine",-0.189020979467601,0.269078106364314,0.482382207108738,0.316608719725708,0.715230531518059,0.145553954801063
"tryptophan",0.542133287676608,0.284807836523638,0.0569746146892722,1.24431860320575,0.0924137822034465,1.03426325509424
"phenylalanine",0.297650577566669,0.281472605954249,0.290294317786911,0.537161464953519,0.57164452310592,0.242873953103266
"c4_butyryl_carnitine",0.00209767389304748,0.272148582681371,0.993850105615388,0.0026791117928116,0.993207733733427,0.00295990741723632
"dmgv",-0.321191872585043,0.284699176572075,0.259243974512876,0.586291328926268,0.383549051092425,0.41617908736938
"c3_carnitine",0.0587141657676419,0.27687689438448,0.832061207181367,0.0798447254359582,0.960250013421401,0.0176156780926583
"methionine",0.135348305314275,0.291950785079685,0.642934547401427,0.191833237261232,0.896867914413327,0.0472715126586371
"guanine",0.106180834625363,0.290876617278237,0.715083512864048,0.145643235040811,0.916997930889502,0.0376316442692214
"hydroxy_lysine",-0.0633779742216348,0.271129836293197,0.815175131153517,0.0887490779804612,0.958146546895125,0.018568061234102
"tyrosine",0.425144329416476,0.288865587828169,0.141082414603619,0.850527116058319,0.334379573480277,0.475760260526542
"betaine",0.185788625199044,0.285100674600019,0.514620714138227,0.288512736868626,0.615992337183511,0.210424690334952
"methyl_cysteine",0.576793641022719,0.295785233579841,0.0511711082313088,1.29097517725242,0.117355665668216,0.930495938796141
"homocysteine",0.515006549919623,0.29160857910947,0.0773810071890151,1.11136562181321,0.110976529396005,0.954768861137749
"folate",0.294430992735572,0.276351761555118,0.286685420863311,0.542594392158529,0.100973633582692,0.995792015172206
"c4_methylmalonyl_carnitine",0.259225089934311,0.268273550122835,0.333908335300366,0.476372739586626,0.340945027543195,0.467315639069764
"valine",0.124363419753923,0.26938663297654,0.644329455245446,0.190892014613362,0.754026014130697,0.122613670577809
"taurine",0.321055046104032,0.264340233867197,0.224536880854248,0.648712314634007,0.403416678200466,0.39424615099013
"hydroxy_tyrosine",0.161510980084833,0.270757638139369,0.550831266878646,0.2589814158235,0.745882938831565,0.127329326694495
"leucine",-0.317375177240572,0.292033424850372,0.277135423398204,0.557307959229943,0.44155739640227,0.35501283609403
"acetyl_carnitine",-0.0370343363212586,0.279975244313034,0.894765054968859,0.0482909856064183,0.98223024351973,0.00778669778380954
"dimethylglycine",-0.111979154709725,0.285472308652615,0.694866666942389,0.158098521116921,0.5139049959941,0.289117160244147
"c3_malonyl_carnitine",-0.278158706590627,0.283133171833738,0.325887731770443,0.486931988490629,0.195871962782996,0.708027724699802
"acetyl_glutamate",-0.471300726278094,0.28718128688916,0.100771226764603,0.996663454410247,0.258819044366972,0.587003770664901
"fad",-0.0205162290169415,0.274861118308456,0.940499424650206,0.0266414657928339,0.791143240959098,0.101744877910471
"acetyl_glutamine",-0.414539424089971,0.280769884714283,0.139826255086989,0.854411273734688,0.209354058805868,0.679118614902178
"proline",-0.426132933352147,0.282414008734501,0.131325755690093,0.881650091449329,0.0975599060100097,1.01072862676087
"glutathione__gsh_",0.00977018511201743,0.27949928585584,0.972114803286366,0.0122824434177522,0.695454927572013,0.15773101138159
"aspartic_acid__aspartate_",0.101154215238805,0.285062446960317,0.722702478135128,0.141040456090675,0.825460240320608,0.0833038404208271
"acetyl_neuraminic_acid",0.00787989307086763,0.284462805982465,0.977900657297896,0.00970526195955247,0.495687808549232,0.304791762444266
"acetyl_lysine__epsilon_",0.0966557845927894,0.291474307690267,0.740183794989808,0.130660427243534,0.433679981595303,0.362830624158237
"threonine",0.108978877912673,0.288532729554457,0.705653297958398,0.151408624396842,0.351414060209376,0.454180866206724
"X_3_aminoisobutyric_acid_baiba",0.119859692066435,0.280554133496841,0.669215577521313,0.174433958395822,0.46534678876535,0.332223278691707
"alanine",0.198538971079931,0.277729338051686,0.474692492945239,0.323587636405166,0.50992197331285,0.292496273219998
"sarcosine",0.361123671697558,0.279366437174383,0.196131337170605,0.70745301075358,0.140823078099331,0.851326167140728
"trimethyamine_n_oxide__tmao_",-0.570482235802192,0.280127999636623,0.0416996128460367,1.37986797715119,0.125515854742748,0.90130141209223
"creatinine",0.265615286573173,0.28488685444422,0.35115381173837,0.454502613000347,0.542948036160571,0.265241733373631
"acetyl_alanine",0.199237763698415,0.288123209069118,0.489250149628711,0.310469032848472,0.724550664690719,0.139931240798345
"creatine",0.19484152575607,0.281237671877595,0.488434923411099,0.311193291282254,0.681475773073709,0.166549579018485
"X_5_aminolevulinic_acid",-0.078153736476718,0.280371406257055,0.780436121628306,0.107662637969463,0.961572218682692,0.0170180926032922
"methyl_histidine",-0.0950586445610008,0.270716915330625,0.725485795331001,0.139371086423704,0.481939410422903,0.317007557970713
"asparagine",0.0379517237715343,0.292807407258535,0.89687240863943,0.0472693364042798,0.521779482053859,0.282513002671572
"carnitine",-0.017655157900072,0.273376229357927,0.948506891687578,0.0229595092550103,0.947864868724208,0.0232535729472884
"glutamine_unc",0.0666547776139429,0.276550631727825,0.809538090051269,0.0917627121855859,0.679188771551338,0.168009502525003
"glutamine",0.335158532651239,0.285357567664995,0.240186297635785,0.619451772249139,0.500789274354065,0.300344981192847
"serine",-0.130147594089712,0.271547730347042,0.631738929943494,0.199462359549048,0.747268071316623,0.126523573541019
"beta_alanine",0.32079585332533,0.27901840870127,0.250255067118532,0.601617120244893,0.302169339707814,0.519749604428613
"glycine",0.00509844899856497,0.271276088746101,0.985005186835494,0.00656148259060901,0.985652454021579,0.00627619247068741
"X_5_adenosyl_homocysteine__sah_",-0.553783871871684,0.284950005593861,0.0519627500631049,1.28430787250227,0.150851643885673,0.821449952797004
"histidine",0.445947800304544,0.292600958299081,0.127488274160071,0.89452975798894,0.279019267751245,0.554365805367569
"cystine",0.17834587997038,0.289784495598982,0.538262108809365,0.269006191453499,0.558512718157363,0.252966932910639
"citicholine",-0.127672162083569,0.289441278011416,0.659141568049042,0.181021299185087,0.433720265676946,0.362790284869809
"guanosine_monophosphate__gmp_",0.014284961247924,0.280182347592611,0.95933785932894,0.0180284161854968,0.346852720254856,0.459854895118491
"citidine_monophosphate__cmp_",-0.414156586153099,0.270840123420475,0.126225970915586,0.898851280076647,0.247955526523424,0.605626207550813
"a_glycerophosphocholine",0.0983187466575885,0.279052808752261,0.724590602438646,0.139907302837372,0.901928145174645,0.0448280604593698
"glutathione_disulfide__gssg_",0.420734568834289,0.286132733625408,0.141448724066667,0.849400965727704,0.301413178613137,0.520837763057083
"anserine",-0.279545152701807,0.268921284747917,0.298569704692476,0.524954261421359,0.125653868217475,0.900824137237376
"cystathione",-0.278841499490583,0.274172838267384,0.309140029531985,0.509844755922565,0.596090844299425,0.224687548696901
"phosphoethanolamine",-0.01891516388855,0.268425369254382,0.943821866405954,0.0251099651691264,0.841872284894213,0.0747537875652927
"phosphocholine",-0.139649771129854,0.281146407263587,0.619389708369479,0.208036015052009,0.372483218417388,0.428893288856363
"choline",0.165733918485812,0.274544540386031,0.54606399392154,0.262756458799961,0.099530369523129,1.00204438353677
"acetyl_lysine__alpha_",0.0949948856271578,0.28800703931564,0.74152441983211,0.12987454224355,0.657685693711973,0.181981605015492
"adenosyl_methyonine__sam_",-0.197000872813442,0.274785236369499,0.473419326015639,0.324754017191404,0.254674908570141,0.594013841083975
"ornithine",-0.0927589620596794,0.275193268394856,0.736065317832482,0.133083645016387,0.837338035026937,0.0770991810631167
"citrulline",-0.569179970163117,0.289112212449356,0.0489856605740934,1.3099310310927,0.104728814276714,0.979933813452651
"monomethylarginine__nmma_",-0.0482292969050893,0.291825971674397,0.868733578162772,0.0611133918760148,0.264616739489155,0.577382686082677
"arginine",0.173023636823205,0.275850020855164,0.530503186679138,0.275312002991653,0.791016878959617,0.101814249295229
"glutamic_acid__glutamate_",-0.305514827137922,0.296358630222198,0.302589749775186,0.519145787784985,0.583932898069649,0.233637056436266
"lysine",0.0523266192985762,0.285867386236313,0.854762645425713,0.068154465497165,0.70456278628562,0.152080299187156
"adma_sdma",0.25115048427032,0.282055730238218,0.373235800137407,0.428016706146212,0.180580898519634,0.743328190380503
"X_1_5_ag___1_deoxyglucose",0.573653113839501,0.284802390440176,0.0439870145237479,1.35667551335529,0.0123490850986808,1.90836521659968
"X_2_aminoadipic_acid__aaa_",-0.433739539281793,0.277920504590083,0.118603888008254,0.92590107393252,0.119969363334277,0.920929645899206
"X_2_deoxyuridine",-0.25625890171114,0.289911540098475,0.376738854012712,0.423959587619515,0.676528089583096,0.169714166697285
"X_2_hydroxybutyric_acid__ahb_",-0.424318883594974,0.287899969478651,0.140524308398002,0.85224854344595,0.271787633589703,0.565770307669509
"X_2_hydroxyglutaric_acid",0.345674251262594,0.287421667516915,0.229102923727374,0.639969368468556,0.484286749434064,0.3148974135188
"X_2_ketoisovaleric_acid__kiv_",-0.0777646904841953,0.276184532200247,0.778274879713157,0.108866986996972,0.960799955628448,0.0173670256616872
"X_3_hydroxybutyric_acid__bhb_",-0.345586990162895,0.28502496204949,0.22532879565877,0.647183304518556,0.10577581987605,0.975613599735602
"acetoacetic_acid",-0.346555754493493,0.283423668459859,0.221424850320138,0.654773640226591,0.433227501992114,0.363283981445847
"aconitic_acid",-0.410407154579298,0.269672723494469,0.128041353706064,0.892649742963034,0.296626421417774,0.527790167653942
"adp",-0.128797889815998,0.277901703977805,0.643030641447272,0.191768331750112,0.632021795379028,0.199267944740354
"a_ketoglutaric_acid",-0.135676287744957,0.281468077274756,0.629784053356894,0.200808340248832,0.888426212441217,0.0513786363565233
"allantoin",0.271846404737974,0.270061452063238,0.31412250030762,0.502900954370482,0.501516255098658,0.2997149861027
"amp",-0.0892423704792773,0.27685009781793,0.747188265798795,0.126569957092268,0.394669214894751,0.40376674825044
"anthranilic_acid",-0.0794877695726759,0.272492226824518,0.770510994633653,0.11322115983374,0.497302872044891,0.303379032604401
"arachidonoylglycerol_acetate",0.225293528854,0.297495975319875,0.448870499736909,0.347878935971635,0.676308223752197,0.1698553316217
"atp",0.300488209359351,0.280925407438356,0.284782735042077,0.54548634334711,0.427742837751753,0.368817253676829
"beta_isovaleric_acid",-0.0880048342828046,0.276218199612031,0.750025142215073,0.12492417801863,0.872089468474261,0.0594389581047167
"bilirubin",0.288437596181634,0.276828241651533,0.297440874116099,0.526599351270265,0.210692694625854,0.676350522477721
"citric_acid_isocitric_acid",-0.24025185271101,0.279732818680648,0.39041672640534,0.4084715843713,0.579464075656218,0.236973483303287
"cyclic_amp",-0.0866043540245228,0.281585189155264,0.758417125249261,0.120091869080743,0.665236640928143,0.177023838053455
"deoxycholic_acid",0.160954768602502,0.268933136604473,0.549510609396287,0.260023918239974,0.73997300038919,0.130784126209438
"d_gluconic_acid",-0.459021860831135,0.287808506940572,0.110737651264694,0.955704692072057,0.0662417513155243,1.1788681940883
"fumaric_acid",0.324063082453134,0.273481549053793,0.236035595956037,0.627022497192818,0.494633945096753,0.305716082753649
"glucose",-0.452789615685009,0.280647789489131,0.106663457044945,0.971984344605772,0.144460425036845,0.84025111167644
"glyceric_acid",0.0104810679810501,0.283654494610693,0.970524775996963,0.0129933732674581,0.991915804651928,0.00352518986890284
"glycerol_3_phosphate",0.392607903626087,0.288989071899058,0.17428725343226,0.758734374028607,0.375816263261661,0.425024429951379
"glycochenodeoxycholic_acid",-0.101539312080122,0.271396109978342,0.70830243158369,0.149781267277474,0.918842530511623,0.0367589108006673
"glycocholic_acid",-0.194886577239729,0.269707152868094,0.469934352914619,0.327962806230651,0.732501469120657,0.135191499942652
"hippuric_acid",0.146178891038665,0.27354708496795,0.593076630948984,0.226889188173465,0.847778655807094,0.0717175216931201
"homogentisic_acid",0.0560197811559999,0.280749045745395,0.841842818149274,0.0747689887649547,0.582862025232252,0.23443423901805
"hydroxyphenylpyruvic_acid",-0.0374983681122384,0.294325394460122,0.898620285990375,0.0464237816096339,0.174971730788689,0.757032112194866
"hypoxanthine",-0.4451395308443,0.274164613890819,0.104456637967787,0.981063956438287,0.164068702388767,0.784974256705643
