"metabolite","apoe4","estimate","std_err","lower_ci","upper_ci"
"s1p_",0,-0.592343274287225,0.208821897774336,-1.00163419392492,-0.183052354649526
"s1p_",1,-0.014024301588074,0.337170653627546,-0.674878782698064,0.646830179521916
"anandamide",0,-0.11852724978646,0.207150126627565,-0.524541497976487,0.287486998403566
"anandamide",1,-0.539958159197952,0.341553192585348,-1.20940241666523,0.12948609826933
"atorvastatin",0,-0.0493023079543444,0.313450412506117,-0.663665116466334,0.565060500557645
"atorvastatin",1,0.251415604888508,0.466695172848455,-0.663306933894465,1.16613814367148
"cotinine",0,-0.12868244986433,0.211620896430073,-0.543459406867272,0.286094507138613
"cotinine",1,-0.129854636527824,0.356688699461175,-0.828964487471727,0.569255214416079
"c26_carnitine",0,-0.198459869495281,0.214072986219874,-0.618042922486234,0.221123183495672
"c26_carnitine",1,-0.156490479336537,0.338100404166567,-0.819167271503008,0.506186312829935
"c18_1_carnitine",0,-0.485103399860608,0.209168519425639,-0.89507369793486,-0.0751331017863557
"c18_1_carnitine",1,-0.407339782348755,0.346136766820621,-1.08576784531717,0.271088280619661
"c18_carnitine",0,-0.530425040113922,0.211606248628499,-0.945173287425781,-0.115676792802064
"c18_carnitine",1,-0.290745918612641,0.35709915865622,-0.990660269578833,0.409168432353551
"c18_2_carnitine",0,-0.542027698195225,0.21467103270601,-0.962782922299005,-0.121272474091444
"c18_2_carnitine",1,-0.350681800673002,0.350894286456318,-1.03843460212738,0.337071000781381
"c16_carnitine",0,-0.366951382572979,0.21308660150801,-0.784601121528678,0.0506983563827204
"c16_carnitine",1,-0.364459270924278,0.341002060144652,-1.0328233088078,0.30390476695924
"c16_1_carnitine",0,-0.359178177752684,0.216225603795696,-0.782980361192248,0.0646240056868805
"c16_1_carnitine",1,0.0861792035806843,0.350428484455171,-0.600660625951451,0.77301903311282
"c16_2_carnitine",0,-0.252853609709919,0.210687723423603,-0.665801547620182,0.160094328200343
"c16_2_carnitine",1,0.248871179255162,0.335352410743777,-0.408419545802641,0.906161904312966
"c14_carnitine",0,-0.293071569110701,0.208282977706594,-0.701306205415626,0.115163067194224
"c14_carnitine",1,0.209811893210393,0.354516313517353,-0.485040081283619,0.904663867704405
"c14_1_carnitine",0,-0.306040003840006,0.20960621830151,-0.716868191710965,0.104788184030953
"c14_1_carnitine",1,0.220753040725092,0.344196606513555,-0.453872308041475,0.89537838949166
"c14_2_carnitine",0,-0.294883773300094,0.206284985757315,-0.699202345384431,0.109434798784243
"c14_2_carnitine",1,0.262273679627291,0.339374057416806,-0.402899472909649,0.92744683216423
"c12_carnitine",0,-0.289281735166569,0.208144840324618,-0.69724562220282,0.118682151869682
"c12_carnitine",1,0.26327559287298,0.343119823335008,-0.409239260863635,0.935790446609594
"c12_1_carnitine",0,-0.103306546776943,0.20491328815081,-0.50493659155253,0.298323497998645
"c12_1_carnitine",1,0.0738462667860402,0.338101431078558,-0.588832538127934,0.736525071700015
"c10_carnitine",0,-0.0405633873793075,0.20083136347762,-0.434192859795444,0.353066085036829
"c10_carnitine",1,0.349394191839683,0.347803176749049,-0.332300034588453,1.03108841826782
