"metabolite","estimate","std_err","wald_p","log_wald_p","joint_p","log_joint_p"
"varimax1",0.376601787126352,0.43244310533143,0.383825063095663,0.415866670015451,0.665488811883473,0.176859241433655
"varimax2",0.344867187211527,0.447631994932065,0.441047421019227,0.355514713072352,0.679848017005179,0.167588164872203
"varimax3",-0.826510118480307,0.520641626637813,0.11240312594775,0.949221610804491,0.1551003487519,0.809387225649609
"varimax4",-0.320373805793685,0.442340553975287,0.468900250814098,0.328919534957568,0.583230540111635,0.234159742826753
"varimax5",-0.594070492099811,0.461603924358908,0.198104677183845,0.703105270795851,0.341105857743359,0.467110822475413
"varimax6",-0.185251937123723,0.426301195239663,0.663884406584767,0.177907532006373,0.421439277574771,0.37526499117911
"varimax7",0.357262059604464,0.447751290242356,0.42492683175868,0.371685844771113,0.180948887858756,0.742444081791979
"varimax8",-0.0945810908086708,0.470858268315109,0.840800574106371,0.0753070004394434,0.124716274980371,0.904076869111944
"varimax9",-0.359723372778797,0.406964278250235,0.376740052702579,0.423958205804072,0.313127553007661,0.504278715862151
"varimax10",-0.168760290350238,0.444610978464269,0.704265800350641,0.152263400745285,0.107750119685149,0.9675822387675
"varimax11",0.416322527022879,0.441934130844039,0.346168803525084,0.460712072992632,0.484998618105243,0.314259498820669
"varimax12",0.036545095462491,0.441540215329179,0.934036563504914,0.0296361226803827,0.136053470654684,0.866290375112063
