"metabolite","estimate","std_err","wald_p","log_wald_p","joint_p","log_joint_p"
"varimax1",-0.143468816683884,0.273941632663843,0.600473036707458,0.221506489130468,0.86833549082729,0.0613124480209066
"varimax2",-0.35341412761875,0.275060448878599,0.198841262738382,0.701493487543852,0.268474794804803,0.571096480880689
"varimax3",0.0997310186089052,0.281495120334911,0.723121261933967,0.140788868718035,0.880717899376391,0.0551631771308365
"varimax4",0.0635374566684226,0.287837507014816,0.825294328519934,0.0833911393823058,0.917007362987781,0.037627177206614
"varimax5",-0.100420972912116,0.272084183449882,0.712067705570062,0.147478710355406,0.859440329050467,0.0657842709998754
"varimax6",0.0236959923741992,0.292501796850809,0.935432852950599,0.0289873814826691,0.240622083921111,0.618664516293997
"varimax7",-0.282032799746932,0.273472273242526,0.302398710920901,0.519420064497328,0.26891717368875,0.570381461815017
"varimax8",0.146949514102486,0.30810290466529,0.633398110698589,0.198323236376802,0.541041134535301,0.266769714888673
"varimax9",-0.0645555107710171,0.287476063022793,0.822321893857408,0.084958146740862,0.627367561067357,0.202477940872033
"varimax10",-0.10817590014345,0.28899677951982,0.708169791755182,0.149862602788076,0.662519567080985,0.178801290598992
"varimax11",-0.188946558520345,0.279445540782811,0.498946649664461,0.301945889236354,0.524484075008775,0.280267693820872
"varimax12",-0.0430626148777611,0.300003491049847,0.885863423390174,0.0526332296255082,0.681828512145585,0.166324841756897
